Speaker,Script,Position1,Function1,Position2,Function2,Match,Agreement,
,(..) &=in (.) And uh: ,,,,,,,
,(..) you know ,,,,,,,
,it was just like ,,,,,,,
,everybody was real (..) friendly and every⌈thing ⌉ . ,,,,,,,
*FRED:,                                          ⌊ Yeah⌋: . ,,,,,,,
*RICH:,(..) &=tsk I don't know if the parents a:re awa:re ,,,,,,,
,that we did ,,,,,,,
,you know . ,,,,,,,
*FRED:,⌈ Break up ⌉ ? ,,,,,,,
*RICH:,⌊ separate ⌋ ,,,,,,,
,but ʔit ,UI,T4,UI,T4,MATCH,,
,possibly was for the better ,,,,,,,
,cause they ,,,,,,,
,they didn't feel comfortable with us living together anyhow . ,,,,,,,
*FRED:,Yeah: . ,,,,,,,
*FRED:,(..) right ,,,,,,,
,that's (.) not looked on (.) too good (.) ⌈ hunh ⌉ . ,,,,,,,
*RICH:,                                          ⌊ No ⌋ . ,,,,,,,
*RICH:,So ,,,,,,,
,ʔw- what they ,,,,,,,
,what they probably (.) think is ,,,,,,,
,you know ,,,,,,,
,that we still have a lot of: love for each other ,,,,,,,
,&=in &=lengthened That ,,,,,,,
,(.) m⌈:oving ⌉ out was the best thing . ,,,,,,,
*FRED:,     ⌊ But sh- ⌋ +... ,TI,I2,TI,I2,MATCH,,
*RICH:,until we bo:th are ready (.) for marriage ,,,,,,,
,and if she (.) s:till loves me ,,,,,,,
,a:nd I still love her: ,,,,,,,
,and ,,,,,,,
,(.) &=in (..) we wanna get married ,,,,,,,
,there's still the (.) chance of us getting back together ,,,,,,,
,and (.) getting married this time . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) &=tsk &=in &=lengthened So I mean it +/. ,,,,,,,
*RICH:,ʔI: think things are working out pretty good . ,,,,,,,
*RICH:,She called me the other day and uh ,,,,,,,
,(..) you know ,,,,,,,
,she calls me and talks to me ,,,,,,,
,and I call her and ask her how her day was and everything . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*FRED:,(.) &=in (.) What ,,,,,,,
,what does uh ,,,,,,,
,(.) your (..) sisters say . ,,,,,,,
*RICH:,(..) N- they tell me to stay away from her ,,,,,,,
,don't even call or anything . ,,,,,,,
*FRED:,(..) Yeah⌈: ⌉ ? ,,,,,,,
*RICH:,         ⌊ Wait ⌋ till she calls you and everything . ,,,,,,,
*RICH:,But ʔuh ,UI,T3,TI,I1,UNMATCH,T3,
,you know ,,,,,,,
,that's not right . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*FRED:,That's hard ⌈ man ⌉ . ,,,,,,,
*RICH:,            ⌊ I mean ⌋ ,,,,,,,
,if she accepts me calling her ,,,,,,,
,and she doesn't tell me ,,,,,,,
,&{l=VOX don't call me &}l=VOX or . ,,,,,,,
*FRED:,&=in &=lengthened They're telling you that ,,,,,,,
,why . ,,,,,,,
*FRED:,To ,,,,,,,
,like uh . ,,,,,,,
*RICH:,Cause they feel that ,,,,,,,
,she's gonna get too strong ,,,,,,,
,by me ,,,,,,,
,you know uh ,,,,,,,
,⌈ kissing ⌉ her ass . ,,,,,,,
*FRED:,⌊ Oh ⌋ . ,,,,,,,
*RICH:,⌈2 or something or or or ⌉2 . ,,,,,,,
*FRED:,⌊2 Exactly ⌋2 . ,,,,,,,
*RICH:,⌈3 crawling ⌉3 back . ,,,,,,,
*FRED:,⌊3 I see ⌋3 . ,,,,,,,
*RICH:,and begging her ,,,,,,,
,ʔuh (.) you know . ,,,,,,,
*FRED:,&=in ⌈ &=lengthened . ,,,,,,,
*RICH:,     ⌊ for me to come back or ⌋ . ,,,,,,,
*FRED:,She gonna get ⌉ the upper hand . ,,,,,,,
*RICH:,(.) Exactly . ,,,,,,,
*RICH:,Which ,,,,,,,
,which ,,,,,,,
,you know ,,,,,,,
,ʔuh: she probably already does . ,,,,,,,
*RICH:,But ,UI,T1,UI,I2,UNMATCH,T1,
,(..) &=in (..) ⌈ um ⌉ . ,,,,,,,
*FRED:,               ⌊ Yeah⌋: . ,,,,,,,
*RICH:,(..) &=tsk I'm not gonna just (.) wait for her to call me ,,,,,,,
,because it's not right ,,,,,,,
,I have feelings for her ,,,,,,,
,I wanna know ,,,,,,,
,you know ,,,,,,,
,how she's d⌈oing . ,,,,,,,
*FRED:,           ⌊ doing ⌋ . ,,,,,,,
*RICH:,I'm gonna ⌉ communicate with her . ,,,,,,,
*RICH:,That's all there is to it . ,,,,,,,
*RICH:,It's not like I w- +/. ,,,,,,,
*RICH:,&=in I'm asking her ,,,,,,,
,you know ,,,,,,,
,(..) let me (.) move back in or ,,,,,,,
,you know: ,,,,,,,
,(..) I'm sor⌈ry I ⌉ +... ,,,,,,,
*FRED:,            ⌊ You just ⌋ +/. ,,,,,,,
*FRED:,Yeah . ,,,,,,,
*RICH:,I just wanna remain friends with her ,,,,,,,
,and find out how she's doing . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) So they ,,,,,,,
,they tell +/. ,,,,,,,
*RICH:,I don't tell em I call or nothing . ,,,,,,,
*RICH:,You know ,,,,,,,
,and uh ,,,,,,,
,(..) &=tsk And I sent her flowers last week ,,,,,,,
,I sent her flowers to work . ,,,,,,,
*FRED:,&=tsk Yeah⌈: [% laugh] ⌉ ? ,,,,,,,
*RICH:,          ⌊ The ⌋ day before I moved out . ,,,,,,,
*FRED:,&=in &=lengthened ⌈2 &=lengthened ⌉2 . ,,,,,,,
*RICH:,                  ⌊2 Jus⌋2t to tell her I was so:rry about everything that had happened ,,,,,,,
,and that uh ,,,,,,,
,(..) you know I hope (.) we could remain friends ,,,,,,,
,and that (.) God brings us back together ,,,,,,,
,if it was meant to be . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) And she was real happy about this . ,,,,,,,
*RICH:,She said that really meant a lot to me . ,,,,,,,
*RICH:,You know ,,,,,,,
,That you did send me flowers ,,,,,,,
,and uh . ,,,,,,,
*FRED:,(..) And then- +/. ,,,,,,,
*FRED:,Then the ,,,,,,,
,and what you wrote . ,,,,,,,
*RICH:,(..) Yeah ,,,,,,,
,exactly . ,,,,,,,
*RICH:,Cause she knew it came from my heart ,,,,,,,
,no matter what ,,,,,,,
,(.) I'd put her through and everything ,,,,,,,
,she knows deep down inside ,,,,,,,
,I really did love her ,,,,,,,
,but I had a problem or something . ,UI,T1,UI,T1,MATCH,,
*FRED:,(.) Yeah . ,,,,,,,
*FRED:,(..) &=in ⌈ You had ⌉ to get something out of your syste⌈2m ⌉2 . ,,,,,,,
*RICH:,          ⌊ &{l=X And &}l=X ⌋ ,,,,,,,
,                                                      ⌊2 Y⌋2eah . ,,,,,,,
*RICH:,But I don't even know what it is in fact . ,UI,I1,UI,I1,MATCH,,
*RICH:,I might (..) have to go to therapy or something ,,,,,,,
,to fi⌈:nd out ⌉ . ,,,,,,,
*FRED:,     ⌊ &=laugh &=ex ⌋ &=lengthened &=lengthened &=laugh &=laugh &=laugh &=laugh &=laugh ,,,,,,,
,(..) ⌈2 &=laugh &=in ⌉2 . ,,,,,,,
*RICH:,     ⌊2 Because there's ⌋2 no +/. ,,,,,,,
*RICH:,There's no way I ,,,,,,,
,I shoul⌈d . ,,,,,,,
*FRED:,       ⌊ &=in &=lengthened ⌋ . ,,,,,,,
*RICH:,(.) you know ⌉ . ,,,,,,,
*FRED:,(..) You should be like this ? ,,,,,,,
*RICH:,Exactly . ,,,,,,,
*FRED:,(..) &=in ⌈ &=lengthened ⌉ . ,,,,,,,
*RICH:,          ⌊ I ⌋ mean an- +/. ,,,,,,,
*RICH:,⌈2 People ⌉2 say you . ,,,,,,,
*FRED:,⌊2 X ⌋2 . ,,,,,,,
*RICH:,y:ou act out of uh ,,,,,,,
,(..) it's okay ,,,,,,,
,most men do look at other women ,,,,,,,
,and uh ,,,,,,,
,&=in &=lengthened (..) you know ,,,,,,,
,things go through their mind and everything ,,,,,,,
,but that I'm impulsive . ,UI,T1,UI,T4,UNMATCH,T4,ADDITIONAL INFORMATION
*RICH:,I'd act on my impulse . ,,,,,,,
