Speaker,Script,Position1,Function1,Position2,Function2,Match,Agreement,
,and I shouldn't ,,,,,,,
,I shouldn't wanna: (.) have anybody else . ,,,,,,,
*RICH:,She spent twelve years of her life with me and uh ,,,,,,,
,(..) she's always been positive (.) thinker ,,,,,,,
,and uh ,,,,,,,
,always been good . ,,,,,,,
*FRED:,(.) Yeah . ,,,,,,,
*RICH:,(.) understanding ,,,,,,,
,⌈ and uh ⌉ . ,,,,,,,
*FRED:,⌊ &=in S⌋:ure ,,,,,,,
,it'd be different if she were a bitch and always ⌈2 nagging . ,,,,,,,
*RICH:,                                                 ⌊2 Yeah . ,,,,,,,
*FRED:,you know and then ⌉2 . ,,,,,,,
*RICH:,exactly ⌋2 . ,,,,,,,
*FRED:,(.) getting on your ca⌈3:se . ,,,,,,,
*RICH:,                      ⌊3 Or didn't like . ,,,,,,,
*FRED:,and making your life impossible ⌉3 . ,,,,,,,
*RICH:,ʔuh: didn't enjoy doing anything ⌋3 ,,,,,,,
,she al⌈4ways was . ,,,,,,,
*FRED:,      ⌊4 Yeah . ,,,,,,,
*RICH:,you know ⌉4 . ,,,,,,,
*FRED:,(.) exac⌋4tly . ,,,,,,,
*RICH:,(..) &=in &=lengthened pretty much uh ,,,,,,,
,(..) able to do anything that I wanted to do . ,,,,,,,
*RICH:,She was never negative or anything and uh ,,,,,,,
,it was basically me: ,,,,,,,
,you know going out . ,,,,,,,
*RICH:,The problem going out . ,,,,,,,
*RICH:,(..) &=tsk &=in (..) So it happened for a reason . ,,,,,,,
*RICH:,Now I hope (.) that ,,,,,,,
,ʔuh you know ,,,,,,,
,in the future she ,,,,,,,
,she realizes that I'm +/. ,,,,,,,
*RICH:,I have- have changed and matured and ,,,,,,,
,and that she would (.) give me that chance ,,,,,,,
,you know . ,,,,,,,
*FRED:,(..) ⌈ To- go- +... ,,,,,,,
*RICH:,     ⌊ to go back with her . ,,,,,,,
*FRED:,(.) To go back ⌉ . ,,,,,,,
*RICH:,and try to m⌋ake our life work together . ,,,,,,,
*FRED:,(..) ⌈2 Yeah ⌉2 . ,,,,,,,
*RICH:,     ⌊2 &=in ⌋2 &=lengthened But only time will tell ,TI,T4,TI,T4,MATCH,,
,I gotta prove it to her . ,,,,,,,
*RICH:,(..) &=tsk And ,,,,,,,
,I gotta leave her on her own ,,,,,,,
,let her see ,,,,,,,
,you know . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) Even if she goes out with other men ,,,,,,,
,or dates other men ,,,,,,,
,if that's ,,,,,,,
,if (.) if she: (.) does feel any attraction towards anybody else . ,,,,,,,
*RICH:,(..) I'll never know . ,,,,,,,
*FRED:,(..) But she'll know what her good thing was . ,TI,T1,TI,T1,MATCH,,
*RICH:,(.) N- yeah⌈: ⌉ . ,,,,,,,
*FRED:,           ⌊ Th⌋at's for ⌈2 sure ⌉2 . ,,,,,,,
*RICH:,                         ⌊2 def⌋2initely . ,,,,,,,
*RICH:,(..) . ,,,,MATCH,24,,
@End,,,,,UNMATCH,14,,
