speaker,script,position1,function1,position2,function2,match,agreement,corpus
*RICH:,I think s,,,,,,,sbcsae
*RICH:,uh It's gonna be the fifteenth,,,,,,,sbcsae
,which would be on a Saturday I think,,,,,,,sbcsae
*RICH:,And I'll be working till nine o'clock,,,,,,,sbcsae
*RICH:,So they'll,,,,,,,sbcsae
,they'll be pretty happy for me,,,,,,,sbcsae
,more or less,,,,,,,sbcsae
,because uh,,,,,,,sbcsae
,they didn't want me to work in the factory much longer,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
,I know,,,,,,,sbcsae
*FRED:,My mom doesn't know what to do to get me out,,,,,,,sbcsae
*FRED:,But,UI,T4,UI,T4,MATCH,T4,sbcsae
,they didn't take a trip through,,,,,,,sbcsae
,Brazil,,,,,,,sbcsae
,and Argentina,,,,,,,sbcsae
*RICH:,I don't know,,,,,,,sbcsae
,I don't know they they,,,,,,,sbcsae
,they didn't,,,,,,,sbcsae
*FRED:,They spent the whole time in Guayaquil,,,,,,,sbcsae
*RICH:,Yeah I think so,,,,,,,sbcsae
*RICH:,They tol,,,,,,,sbcsae
*RICH:,My dad told me he was gonna go to uh,,,,,,,sbcsae
,Argentina,,,,,,,sbcsae
,and Peru,,,,,,,sbcsae
,and Colombia,,,,,,,sbcsae
,but,UI,T4,UI,T1,UNMATCH,T1,sbcsae
,he only wrote one letter,,,,,,,sbcsae
,and and they were in uh,,,,,,,sbcsae
*FRED:,No one's called em,,,,,,,sbcsae
,y I mean no one's talked to them,,,,,,,sbcsae
*RICH:,No,,,,,,,sbcsae
*FRED:,,,,,,,,sbcsae
*RICH:,He sent postcards to everybody,,,,,,,sbcsae
,and a letter but,UI,T1,UI,T1,MATCH,T1,sbcsae
,,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,Other than that,,,,,,,sbcsae
,he hasn't called or told us what's up,,,,,,,sbcsae
,and he'll be in here no time,,,,,,,sbcsae
*FRED:,Is he staying over at Miguel Juarez's,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,And uh,,,,,,,sbcsae
,the other architect,,,,,,,sbcsae
*RICH:,Is his nephew or something,,,,,,,sbcsae
*RICH:,Pe,,,,,,,sbcsae
*RICH:,Pedro Cruz,,,,,,,sbcsae
*FRED:,Pedro Cruz,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
,he's a architect or,,,,,,,sbcsae
*FRED:,I never met him,,,,,,,sbcsae
*FRED:,I know Miguel,,,,,,,sbcsae
*RICH:,That's his,,,,,,,sbcsae
*FRED:,I've been to his house a number of time,,,,,,,sbcsae
*RICH:,his nephew,,,,,,,sbcsae
*RICH:,Th one of his brother's sons or something,,,,,,,sbcsae
*FRED:,Unhunh,,,,,,,sbcsae
*RICH:,But uh,TI,I2,TI,I2,MATCH,I2,sbcsae
,they'll come back,,,,,,,sbcsae
,they'll be happy to see me here,,,,,,,sbcsae
,that I got a new career going,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
*FRED:,They weren't all heartbroken about,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,Jeanie and that,,,,,,,sbcsae
*RICH:,Well they have no idea what's happening right now,,,,,,,sbcsae
*FRED:,They must have been,,,,,,,sbcsae
*FRED:,They have no idea,,,,,,,sbcsae
*RICH:,When they left,,,,,,,sbcsae
,we were on shaky grounds,,,,,,,sbcsae
,but,UI,T1,UI,T1,MATCH,T1,sbcsae
,uh you know,,,,,,,sbcsae
,they thought it might be able to work out,,,,,,,sbcsae
*RICH:,So when they come in,,,,,,,sbcsae
,they'll be pretty shocked,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,And,,,,,,,sbcsae
,and hurt,,,,,,,sbcsae
*RICH:,But uh,UI,T1,UI,T1,MATCH,T1,sbcsae
,like I say,,,,,,,sbcsae
,things will work out f for the best,,,,,,,sbcsae
*FRED:,What about her folks,,,,,,,sbcsae
*FRED:,They're not sorry at all,,,,,,,sbcsae
,huh,,,,,,,sbcsae
*RICH:,No uh,,,,,,,sbcsae
,in fact I've seen em,,,,,,,sbcsae
,I,,,,,,,sbcsae
*RICH:,I w I went to church with em,,,,,,,sbcsae
,for the last three Sundays,,,,,,,sbcsae
*FRED:,Really,,,,,,,sbcsae
*RICH:,With Jeanie,,,,,,,sbcsae
*FRED:,Wow,,,,,,,sbcsae
*RICH:,She thought it might,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,help our relationship as friends,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
*FRED:,She still considers you man,,,,,,,sbcsae
*FRED:,Hunh,,,,,,,sbcsae
*RICH:,Exactly,,,,,,,sbcsae
*RICH:,She does,,,,,,,sbcsae
,because I mean,,,,,,,sbcsae
,we went to church together,,,,,,,sbcsae
,for the last three Sundays,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,and then,,,,,,,sbcsae
,then we went to the movies after,,,,,,,sbcsae
,and her her folks were at church,,,,,,,sbcsae
,and,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,n afterwards,,,,,,,sbcsae
,her mom,,,,,,,sbcsae
,w had a injury on her leg or something,,,,,,,sbcsae
,she wasn't at church last Sunday,,,,,,,sbcsae
,we went to the,,,,,,,sbcsae
,to their house,,,,,,,sbcsae
*RICH:,uh And uh,,,,,,,sbcsae
,I went over there,,,,,,,sbcsae
,and her brother was there,,,,,,,sbcsae
,her nephews and nieces,,,,,,,sbcsae
,her sister,,,,,,,sbcsae
,our godson,,,,,,,sbcsae
,And uh,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,it was just like,,,,,,,sbcsae
,everybody was real friendly and everything,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,I don't know if the parents are aware,,,,,,,sbcsae
,that we did,,,,,,,sbcsae
,you know,,,,,,,sbcsae
*FRED:,Break up,,,,,,,sbcsae
*RICH:,separate,,,,,,,sbcsae
,but it,UI,T4,UI,T4,MATCH,T4,sbcsae
,possibly was for the better,,,,,,,sbcsae
,cause they,,,,,,,sbcsae
,they didn't feel comfortable with us living together anyhow,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*FRED:,right,,,,,,,sbcsae
,that's not looked on too good hunh,,,,,,,sbcsae
*RICH:,No,,,,,,,sbcsae
*RICH:,So,,,,,,,sbcsae
,w what they,,,,,,,sbcsae
,what they probably think is,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,that we still have a lot of love for each other,,,,,,,sbcsae
,That,,,,,,,sbcsae
,moving out was the best thing,,,,,,,sbcsae
*FRED:,But sh,TI,I2,TI,I2,MATCH,I2,sbcsae
*RICH:,until we both are ready for marriage,,,,,,,sbcsae
,and if she still loves me,,,,,,,sbcsae
,and I still love her,,,,,,,sbcsae
,and,,,,,,,sbcsae
,we wanna get married,,,,,,,sbcsae
,there's still the chance of us getting back together,,,,,,,sbcsae
,and getting married this time,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,So I mean it,,,,,,,sbcsae
*RICH:,I think things are working out pretty good,,,,,,,sbcsae
*RICH:,She called me the other day and uh,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,she calls me and talks to me,,,,,,,sbcsae
,and I call her and ask her how her day was and everything,,,,,,,sbcsae
