@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
*FRAN:,in (.) ⌈4 New York now ⌉4 . ,,,,,,
*ALIC:,       ⌊4 Every gay thing I've ever ⌋4 been to ,,,,,,
,there was a ⌈5 signer ⌉5 . ,,,,,,
*SEAN:,            ⌊5 Sign⌋5er ? ,,,,,,
*ALIC:,&=in Ye⌈6ah . ,,,,,,
*SEAN:,       ⌊6 &{l=X Hosts &}l=X ⌋6 . ,,,,,,
*ALIC:,not at ⌉6 ⌈7 SLICK ⌉7 . ,,,,,,
*FRAN:,          ⌊7 They're listed in the ⌋7 book as ,,,,,,
,you know ,,,,,,
,always ,,,,,,
,a signer is always at this meeting . ,,,,,,
*FRAN:,(.) And . ,,,,,,
*BERN:,(..) I forgot ,,,,,,
,do y- +/. ,,,,,,
*BERN:,(..) Yeah . ,,,,,,
*BERN:,That's right . ,,,,,,
*BERN:,Of course ,,,,,,
,you go to meeting . ,,,,,,
*FRAN:,(..) Oh sure . ,,,,,,
*BERN:,(.) Yeah . ,,,,,,
*BERN:,You ⌈ have for a while ⌉ . ,,,,,,
*FRAN:,    ⌊ &{l=P &{l=X Yeah &}l=X ,,,,,,
,I'm ⌋ sober for twelve years &}l=P . ,,,,,,
*BERN:,(..) Do you +/. ,,,,,,
*BERN:,(.) Does she ⌈ know your sponsor ⌉ ? ,,,,,,
*SEAN:,             ⌊ Same as Rick ,,,,,,
,same as me ⌋ . ,,,,,,
*FRAN:,(..) Beg your par⌈2don ⌉2 ? ,,,,,,
*SEAN:,                 ⌊2 Same ⌋2 as me . ,,,,,,
*SEAN:,(..) ⌈ Lynne Bissell ⌉ ? ,,,,,,
*BERN:,     ⌊ Do you know Lynne ⌋ Bissell ? ,,,,,,
*SEAN:,(..) That's my sponsor in New York ? ,,,,,,
*FRAN:,(..) &{l=P No: . ,,,,,,
*FRAN:,I don't ⌈ know her &}l=P ⌉ . ,,,,,,
*SEAN:,        ⌊ She's an act⌋ress ,,,,,,
,(.) Woody Allen movies ,,,,,,
,(..) Older woman ,,,,,,
,about seventy-two . ,,,,,,
*FRAN:,(..) &=in I may know her ,,,,,,
,and not ⌈ know her ⌉ . ,,,,,,
*SEAN:,        ⌊ You'd ⌋ re- +/. ,,,,,,
*SEAN:,you might ⌈2 know her ⌉2 . ,,,,,,
*FRAN:,          ⌊2 Yeah ⌋2 . ,,,,,,
*SEAN:,May⌈3be ⌉3 ⌈4 not ⌉4 . ,,,,,,
*BERN:,   ⌊3  Ly⌋3⌊4:nne ⌋4 . ,,,,,,
*FRAN:,           ⌊4 I mean ⌋4 ,,,,,,
,    ⌈5 I don't know where she goes to mee⌉5tings . ,,,,,,
*SEAN:,New ⌊5 York's a big place ⌋5 . ,,,,,,
*FRAN:,Yeah ,,,,,,
,Because you've got ⌈ a thou⌉⌈2sand meetings a ⌉2 week . ,,,,,,
*SEAN:,                   ⌊ Upper ⌋ ⌊2 East Side ⌋2 . ,,,,,,
*ENV:,                            ⌊2 &{n=DOG_BARKING ⌋2 . ,,,,,,
*FRAN:,&=in Oh no ,,,,,,
,I don't go uptown so much . ,,,,,,
*FRAN:,I'm gen⌈erally mostly in the Village ⌉ . ,,,,,,
