@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
*FRAN:,(.) Yeah . ,,,,,,
*FRAN:,(..) They were (.) absolute angels . ,,,,,,
*ALIC:,(..) Wow . ,,,,,,
*FRAN:,So . ,,,,,,
*ALIC:,(..) When was that . ,,,,,,
*ALIC:,Two years ago ? ,,,,,,
*FRAN:,(..) No . ,,,,,,
*FRAN:,It's: actually quite a whi⌈le now ⌉ . ,,,,,,
*SEAN:,                          ⌊ Mm ⌋ . ,,,,,,
*FRAN:,It's four years . ,,,,,,
*X:,(.) &{l=P &{l=X four years &}l=X &}l=P ? ,,,,,,
*FRAN:,Yeah ,,,,,,
,it's astounding to me that it's that length of time . ,,,,,,
*ALIC:,(..) And his stuff was put in ⌈ storage ⌉ ? ,,,,,,
*FRAN:,                              ⌊ Hmm ⌋ . ,,,,,,
*SEAN:,Okay⌈2: ⌉2 . ,,,,,,
*BERN:,    ⌊2 &{l=FOOD I'll wait ⌋2 ⌈3 with that &{l=X and &}l=X . ,,,,,,
*FRAN:,                             ⌊3 Yeah I just couldn't belie⌋3⌈4ve [% laugh] ⌉4 . ,,,,,,
*BERN:,(.) Help you out &}l=FOOD ⌉3 . ,,,,,,
*SEAN:,                                                            ⌊4 Sure ⌋4 . ,,,,,,
*ALIC:,(..) Oh ⌈5 wow⌉5⌈6: ⌉6 . ,,,,,,
*SEAN:,        ⌊5  Um⌋5⌊6: ⌋6 . ,,,,,,
*FRAN:,                ⌊6 For one ⌋6 thing ,,,,,,
,I ⌈7 had uh . ,,,,,,
*SEAN:,  ⌊7 You bring the plates ⌋7 . ,,,,,,
*FRAN:,such a ⌉7 tiny apartment . ,,,,,,
*FRAN:,(..) U:m ,,,,,,
,(..) when we (..) went back to New York ,,,,,,
,(.) u:m ,,,,,,
,(.) I had (..) &{l=X kept &}l=X a studio there . ,,,,,,
*FRAN:,(..) And (.) of course ,,,,,,
,that was small and ,,,,,,
,(..) and then ,,,,,,
,we found another studio ,,,,,,
,(..) in uh ,,,,,,
,in (.) our neighborhood ,,,,,,
,that we liked ,,,,,,
,(.) in the Village ,,,,,,
,&=in and we moved into that ,,,,,,
,and we just got so busy ,,,,,,
,we (.) didn't get around to (.) moving into a real a⌈partment . ,,,,,,
*SEAN:,                                                    ⌊ Mm ⌋ . ,,,,,,
*FRAN:,un⌉til this past year . ,,,,,,
*FRAN:,(..) So that's why (.) ⌈2 I'm (.) doing it ⌉2 now . ,,,,,,
*SEAN:,                       ⌊2 &{l=P &{l=X This is alright &}l=X &}l=P ⌋2 . ,,,,,,
*FRAN:,(.) &=in But I also know ,TI,T4,TI,T4,MATCH,
,that I wasn't really ready to do it until now . ,,,,,,
*FRAN:,(..) So . ,,,,,,
*FRAN:,(..) You know ,,,,,,
,but it's okay now . ,UI,T4,UI,T2,UNMATCH,T2
*ALIC:,(..) Yeah ,,,,,,
,you know I take care of (..) people's estates ,,,,,,
,and my +/. ,,,,,,
*ALIC:,(..) my garage is (.) f:ill:ed with (..) dead people's things . ,,,,,,
*FRAN:,(..) Yeah . ,,,,,,
*ALIC:,(..) ʔThat ,,,,,,
,(..) I don't +/. ,,,,,,
*ALIC:,(..) I wanna toss em . ,,,,,,
*ALIC:,But ʔit just +/. ,UI,T4,UI,T1,UNMATCH,T4
*ALIC:,(..) Maybe worth something ,,,,,,
,maybe somebody'll surface ,,,,,,
,(..) so I have like (..) four years' worth now . ,,,,,,
*ALIC:,(..) of ,,,,,,
,(..) well- +/. ,,,,,,
*ALIC:,(..) you know ,,,,,,
,an antique mirror ,,,,,,
,(.) just +/. ,,,,,,
*ALIC:,And every once in a while somebody'll sh:ow up and say ,,,,,,
,(..) &{l=VOX do you know where: such and such is &}l=VOX . ,,,,,,
*ALIC:,&{l=WH And I'll say ,,,,,,
,(..) I've got that &}l=WH . ,,,,,,
*ALIC:,(..) and I'll h:and it to em . ,,,,,,
*ALIC:,&{l=P &{l=X and they're &}l=X &}l=P ,,,,,,
,(..) I mean ⌈ that just ⌉ happened to me . ,,,,,,
*FRAN:,            ⌊ &{l=X Yeah &}l=X ⌋ . ,,,,,,
*ALIC:,a few weeks ⌈2 ago ⌉2 . ,,,,,,
*FRAN:,            ⌊2 They're ⌋2 excited and happy . ,,,,,,
*ALIC:,(..) Mhm . ,,,,,,
*FRAN:,(.) Yeah . ,,,,,,
*FRAN:,⌈ that's ⌉ great . ,,,,,,
*ALIC:,⌊ And ⌋ ,,,,,,
,(..) But it's stuff: . ,UI,I1,UI,I1,MATCH,
*FRAN:,(..) ⌈ Yeah ⌉ . ,,,,,,
*ALIC:,     ⌊ And ⌋ so ,,,,,,
,(.) I don't wanna &{l=X feel discouraged &}l=X ,,,,,,
,cause⌈: like I'm the only one . ,,,,,,
*BERN:,     ⌊ Oh yeah it's ,,,,,,
,getting XXXX ⌋ . ,,,,,,
*ALIC:,(.) I'm in charge ⌉ of this ,,,,,,
,&{l=X and so &}l=X . ,,,,,,
*SEAN:,Okay ladies ? ,,,,,,
*ALIC:,(..) You know what I mean ? ,,,,,,
*SEAN:,Dinner . ,,,,,,
*FRAN:,(..) It smells divine . ,,,,,,
*ALIC:,(..) ⌈ Oo: ⌉ . ,,,,,,
*BERN:,     ⌊ &{l=P &{l=X It is &}l=X XX &}l=P ⌋ . ,,,,,,
*FRAN:,(..) Where should we ⌈2 sit ⌉2 . ,,,,,,
*ALIC:,                     ⌊2 &{l=VOX X⌋2⌈3X &}l=VOX . ,,,,,,
*SEAN:,                                   ⌊3 Fra:n &=ex . ,,,,,,
*ALIC:,(.) Hey ,,,,,,
,wait- wait- ⌉3 . ,,,,,,
*SEAN:,Al⌋3⌈4i:ce ⌉4 . ,,,,,,
*BERN:,    ⌊4 &{l=VOX Oh yes &}l=VOX ⌋4 . ,,,,,,
*FRAN:,⌈5 Did you say Fran ⌉5 ? ,,,,,,
*ALIC:,⌊5 I don't know ⌋5 ,,,,,,
,I ⌈6 don't know if ⌉6 this is working . ,,,,,,
*SEAN:,  ⌊6 Yes ⌋6 . ,,,,,,
*ALIC:,I ha- don't even have a ⌈7 cl:ue: ⌉7 . ,,,,,,
*FRAN:,                        ⌊7 Oh ,,,,,,
,heaven ⌋7 . ,,,,,,
*ALIC:,(.) It should be going up . ,,,,,,
*BERN:,Where's ⌈ the micropho⌉ne . ,,,,,,
*ALIC:,        ⌊ This red one ⌋ . ,,,,,,
*ALIC:,(..) Here . ,,,,,,
*ALIC:,(..) &{l=VOX I'm not mechani⌈cal Sean &}l=VOX ⌉ . ,,,,,,
*SEAN:,                            ⌊ It's a Sean ⌋ concoction . ,,,,,,
*ALIC:,It's +/. ,,,,,,
*ALIC:,Looks like it's going ⌈ too f⌉ast to be recording . ,,,,,,
*FRAN:,                      ⌊ What is it ⌋ . ,,,,,,
*BERN:,(.) &{l=X No &}l=X ,,,,,,
,that looks right . ,,,,,,
*FRAN:,Oh trust ⌈ the machinery ⌉ . ,,,,,,
*ALIC:,         ⌊ &=in ʔIt- ⌋ +/. ,,,,,,
*ALIC:,ʔI: don't . ,,,,,,
*SEAN:,If it didn't it didn't . ,,,,,,
*FRAN:,&=in ⌈ Oh: ⌉ this is great . ,,,,,,
*SEAN:,     ⌊ Hey ⌋ . ,,,,,,
*FRAN:,⌈2 I just got the sa⌉2me ⌈3 fab⌉3ric . ,,,,,,
*ALIC:,⌊2 Where (.) do I sit . ,,,,,,
*ALIC:,Here ⌋2 ? ,,,,,,
*SEAN:,                         ⌊3 Here ⌋3 . ,,,,,,
*ALIC:,I should turn +... ,,,,,,
*FRAN:,to do dining room [% laugh] ⌈ chai⌉⌈2:rs: [% laugh] ⌉2 . ,,,,,,
*ALIC:,                            ⌊ &{l=X I have to s⌋⌊2ee this &}l=X ⌋2 . ,,,,,,
*SEAN:,                                   ⌊2 You're kidding ⌋2 . ,,,,,,
*FRAN:,&{l=HI I'm serious &}l=HI . ,,,,,,
*FRAN:,&=in I did it (.) in navy: . ,,,,,,
*SEAN:,(..) ⌈ Unhunh ⌉ ? ,,,,,,
*FRAN:,     ⌊ and ⌋ go:⌈2ld ⌉2 . ,,,,,,
*SEAN:,                ⌊2 I ⌋2 looked at ⌈3 the navy: ⌉3 . ,,,,,,
*FRAN:,                                  ⌊3 &=in a:⌋3⌈4:nd . ,,,,,,
*ALIC:,                                              ⌊4 &{l=P Oh: wow: &}l=P ⌋4 . ,,,,,,
*FRAN:,uh ,,,,,,
,because ⌉4 ,,,,,,
,I had another fabric ,,,,,,
,it's (.) uh ,,,,,,
,&=in it's: a ⌈ gorgeous (.) blue⌉⌈2: with gold ⌉2 &{l=X bea:ds &}l=X . ,,,,,,
*BERN:,             ⌊ &{l=X Do you need to scoot &}l=X ⌋ ? ,,,,,,
*ALIC:,                                 ⌊2 &{l=WH Wow this is great &}l=WH ⌋2 . ,,,,,,
*FRAN:,and I wanted to mix the two fabrics . ,,,,,,
*FRAN:,And the red didn't work with it . ,,,,,,
*BERN:,(.) &{l=WH &{l=X Yeah &}l=X &}l=WH . ,,,,,,
*SEAN:,Well I first ⌈ had a ⌉ +... ,,,,,,
*FRAN:,             ⌊ Cause I ⌋ fell in love with the re:⌈2:d ⌉2 . ,,,,,,
*SEAN:,                                                  ⌊2 a ⌋2 kind of a ,,,,,,
,f:lower (..) fabric ,,,,,,
,(..) that I ha- put ⌈ on these ⌉ ? ,,,,,,
*FRAN:,                    ⌊ Unhunh ⌋ ? ,,,,,,
*SEAN:,(.) It +/. ,,,,,,
*SEAN:,(..) The ⌈ chair's died ⌉ . ,,,,,,
*BERN:,         ⌊ It was horrible ⌋ . ,,,,,,
*BERN:,(.) Yeah⌈2: ⌉2 . ,,,,,,
*FRAN:,        ⌊2 Yeah⌋2: . ,,,,,,
*SEAN:,And so I went to (.) the design center ,,,,,,
,and I went to all the places ,,,,,,
,and ,,,,,,
,(..) that was the one . ,,,,,,
*FRAN:,(.) Yeah . ,,,,,,
*ALIC:,(..) Why do we have to look at the one I'm ʔuh on [% laugh] . ,,,,,,
*ALIC:,⌈ &=laugh &=laugh &=laugh &=laugh &=laugh ⌉ ⌈2 &=laugh &=laugh ⌉2 . ,,,,,,
*BERN:,⌊ &=laugh &=laugh &=laugh &=laugh &=laugh ⌋ ⌊2 &=laugh &=laugh ⌋2 . ,,,,,,
*FRAN:,                                            ⌊2 &=laugh &=laugh &=laugh ⌋2 ,,,,,,
,&=in . ,,,,,,
*BERN:,&=laugh &=in . ,,,,,,
*ALIC:,&=in . ,,,,,,
*FRAN:,Because you're the s- +/. ,,,,,,
*FRAN:,you're- you're the slimmest ,,,,,,
,and show the most cu- uh: . ,,,,,,
*ALIC:,⌈ Oh ,,,,,,
,chair ⌉ . ,,,,,,
*FRAN:,⌊ cushion c⌋left . ,,,,,,
*ALIC:,(.) Okay ,,,,,,
,⌈ that was ⌉ cool . ,,,,,,
*FRAN:,⌊ Right ⌋ . ,,,,,,
*BERN:,Cheers everybody . ,,,,,,
*BERN:,⌈ &{l=X here's ⌉ ⌈2 to &}l=X ⌉2 +... ,,,,,,
*ALIC:,⌊ Cheers ⌋       ⌊2 ch⌋2⌈3eers ⌉3 . ,,,,,,
*FRAN:,                 ⌊2 Ch⌋2⌊3ee⌋3:rs . ,,,,,,
*FRAN:,chee⌈4:r⌉4s . ,,,,,,
*BERN:,    ⌊4 Cheers ⌋4 . ,,,,,,
*SEAN:,(..) It's nice to see you Fran⌈5: ⌉5 . ,,,,,,
*FRAN:,                              ⌊5 Lo⌋5vely to be here . ,,,,,,
*X:,(..) &=THROAT . ,,,,,,
*ALIC:,(..) &=tsk I didn't realize that you had such a (.) close connection . ,,,,,,
*ALIC:,(..) That ⌈ you ⌉ +... ,,,,,,
*SEAN:,          ⌊ Oh ⌋ yeah ⌈2 &=ex . ,,,,,,
*ALIC:,                      ⌊2 &{l=P &{l=X I didn't get that &}l=X &}l=P ⌋2 . ,,,,,,
*SEAN:,We t⌉2ook care of Jerrod ,,,,,,
,and that's: when we really +/. ,,,,,,
*SEAN:,(..) Well ,,,,,,
,we had (..) ⌈ (.) h:eard of Fran . ,,,,,,
*FRAN:,            ⌊ That's when I really got to meet em ⌋ . ,,,,,,
*SEAN:,for a long ⌉ time from Jerrod ,,,,,,
,and ,,,,,,
,but that's how we really met . ,UI,T4,UI,T4,MATCH,
*ALIC:,(..)        ⌊ &{l=X Brother and sister &}l=X ⌋ . ,,,,,,
*BERN:,            ⌊ I thought he just made it ⌋ up . ,,,,,,
*SEAN:,(.) And then ⌈2 she's come . ,,,,,,
*FRAN:,             ⌊2 His faux sister ⌋2 . ,,,,,,
*SEAN:,(.) almost ⌉2 ⌈3 every year ⌉3 . ,,,,,,
*BERN:,              ⌊3 Yes ⌋3 . ,,,,,,
*FRAN:,              ⌊3 His: ⌋3 (.) fantasy sister . ,,,,,,
*BERN:,Right . ,,,,,,
*FRAN:,(..) &=in Well I used to come out here . ,,,,,,
*ALIC:,(..) to see ⌈ your brother ⌉ . ,,,,,,
*FRAN:,            ⌊ with grea⌋:t regularity . ,,,,,,
*FRAN:,I mean ,,,,,,
,(..) I ⌈ was out here about every year- . ,,,,,,
*ALIC:,       ⌊ Don't you love it out here ,,,,,,
,don't you love it ⌋ ? ,,,,,,
*FRAN:,I ⌉ do ,,,,,,
,I adore it . ,,,,,,
*ALIC:,This is- +/. ,,,,,,
*ALIC:,(.) Wouldn't this be in the top three of . ,,,,,,
*FRAN:,This would be ,,,,,,
,if +/. ,,,,,,
*FRAN:,&{l=L Were I &}l=L (.) going to leave New York . ,,,,,,
*FRAN:,(..) This would definitely be ,,,,,,
,I think this would be my second choice . ,,,,,,
*FRAN:,(..) A:nd ,,,,,,
,(..) the other (.) thing I would m:aybe do is ,,,,,,
,go b:ack to New Orleans . ,,,,,,
*FRAN:,But then like ,UI,T4,UI,T4,MATCH,
,I don't ⌈ know . ,,,,,,
*SEAN:,        ⌊ New Orleans ⌋ ? ,,,,,,
*FRAN:,maybe come ⌉ here in the s:ummer or something . ,,,,,,
*FRAN:,Because ,,,,,,
,&{l=MRC it's (.) just (.) beastly &}l=MRC there in the summer . ,,,,,,
*FRAN:,(..) &{l=PP You know &}l=PP ,,,,,,
,&=in but this is definitely ,UI,T4,UI,T2,UNMATCH,T4
,&=in and ,,,,,,
,oddly enough ,,,,,,
,do you know where else I might go ? ,,,,,,
*FRAN:,(..) Buffalo New York . ,,,,,,
*FRAN:,Is a w:onderful city . ,,,,,,
*BERN:,(..) I've heard . ,,,,,,
*FRAN:,(..) ⌈ It ha⌉⌈2s ⌉2 +... ,,,,,,
*ALIC:,     ⌊ Buffal⌋⌊2o ⌋2 ? ,,,,,,
*SEAN:,             ⌊2 I ⌋2 was on the radio there today . ,,,,,,
*FRAN:,(..) You were⌈3: ⌉3 ? ,,,,,,
*SEAN:,             ⌊3 Y⌋3es . ,,,,,,
*FRAN:,&{l=HI Oh ⌈4 wow: &}l=HI ⌉4 . ,,,,,,
*SEAN:,          ⌊4 Double-u +/. ,,,,,,
*SEAN:,it ⌋4 was +/. ,,,,,,
*SEAN:,(.) I don't know what it ⌈5 was ⌉5 . ,,,,,,
*X:,                         ⌊5 &=laugh ⌋5 . ,,,,,,
*FRAN:,(.) Unhunh ? ,,,,,,
*SEAN:,(.) At two forty-five . ,,,,,,
*SEAN:,(..) Five forty-five there . ,,,,,,
*SEAN:,(..) Somebody's show . ,,,,,,
*SEAN:,(..) Mhm ? ,,,,,,
*SEAN:,(..) Was raining there . ,,,,,,
*FRAN:,(..) It wa⌈s ⌉ ? ,,,,,,
*SEAN:,          ⌊ M⌋hm ? ,,,,,,
*FRAN:,Oh . ,,,,,,
*ALIC:,Sean this is ⌈ grea:t ⌉ . ,,,,,,
*FRAN:,             ⌊ Well it's a good day ⌋ for people to ⌈2 be indoors lis⌉2tening to the ⌈3 radio ⌉3 . ,,,,,,
*BERN:,                                                    ⌊2 Buffalo ʔuh ⌋2 +... ,,,,,,
*SEAN:,                                                                                     ⌊3 Is that ⌋3 where Linda's from ? ,,,,,,
*FRAN:,(..) &=in ⌈4 Linda's from Cor⌉4ning . ,,,,,,
*BERN:,          ⌊4 Or is she up farther ⌋4 . ,,,,,,
*BERN:,(.) ⌈5 Up farther ⌉5 . ,,,,,,
*FRAN:,    ⌊5 which is: ⌋5 uh not too far away . ,,,,,,
*FRAN:,But it's ⌈6 in the s- ⌉6 +... ,UI,T3,UI,T3,MATCH,
*BERN:,         ⌊6 &=THROAT ⌋6 . ,,,,,,
*FRAN:,in the same ⌈7 general a⌉7⌈8rea ⌉8 . ,,,,,,
*SEAN:,            ⌊7 Mm ⌋7 . ,,,,,,
*SEAN:,                          ⌊8 (.) came ⌋8 ⌈9 out good ⌉9 . ,,,,,,
*ALIC:,                          ⌊8 It's ⌋8     ⌊9 great ⌋9 . ,,,,,,
*FRAN:,Mm: . ,,,,,,
*FRAN:,(..) Is this +/. ,,,,,,
*FRAN:,We +/. ,,,,,,
*FRAN:,(..) This looks like something we used to call grillades . ,,,,,,
*FRAN:,In New- (.) in New Orleans . ,,,,,,
*FRAN:,What is ⌈ it ⌉ . ,,,,,,
*SEAN:,&{l=P   ⌊ Gri⌋llades . ,,,,,,
*SEAN:,Hunh &}l=P ? ,,,,,,
*FRAN:,&{l=P Mhm &}l=P . ,,,,,,
*SEAN:,This is red beans and rice ,,,,,,
,⌈ with some ⌉ steak . ,,,,,,
*FRAN:,⌊ Unhunh ⌋ ? ,,,,,,
*SEAN:,and um ,,,,,,
,(.) &=tsk green and (.) and red peppers cut up . ,,,,,,
*FRAN:,(..) &{l=FOOD It's delicious &}l=FOOD . ,,,,,,
*BERN:,(..) It is delicious ⌈ Sean ⌉ . ,,,,,,
*ALIC:,                     ⌊ Mm ⌋ . ,,,,,,
*ALIC:,It's gr:eat . ,,,,,,
*BERN:,(..) &=THROAT . ,,,,,,
*FRAN:,(..) Did you invent this ? ,,,,,,
*FRAN:,⌈ Cause it's v⌉ery like a New Or⌈2leans recipe ⌉2 . ,,,,,,
*SEAN:,⌊ Mhm ⌋ . ,,,,,,
*SEAN:,                                ⌊2 &{l=FOOD I invented it &}l=FOOD ⌋2 . ,,,,,,
*ALIC:,(..) Mhm . ,,,,,,
*FRAN:,(.) Mm . ,,,,,,
*FRAN:,(..) &{l=P Wonderful &}l=P . ,,,,,,
*SEAN:,(.) &{l=FOOD I had red beans and rice ,,,,,,
,(..) for dinner ,,,,,,
,(.) last week ,,,,,,
,and it was so great ,,,,,,
,and I thought ,,,,,,
,(..) &{l=P I could make this for a dinner pa⌈rty &}l=P ⌉ . ,,,,,,
*ALIC:,                                            ⌊ Yeah ⌋ ,,,,,,
,what can I +/. ,,,,,,
*ALIC:,(.) ⌈ ʔYou ʔknow ⌉ . ,,,,,,
*SEAN:,    ⌊ And just ⌋ +/. ,,,,,,
*SEAN:,And I'll just a:dd to it ,,,,,,
,and ,,,,,,
,(.) that's what I like . ,,,,,,
*SEAN:,Is to ⌈ add . ,,,,,,
*FRAN:,      ⌊ And ja:zz it up ⌋ . ,,,,,,
*SEAN:,I couldn't real⌉ly follow a recipe . ,,,,,,
*FRAN:,Mhm ? ,,,,,,
*SEAN:,(.) &=tsk I mean I could but ,TF,I2,TF,I2,MATCH,
,Hm &}l=FOOD . ,,,,,,
*BERN:,(..) &{l=FOOD I used to say ,,,,,,
,well how much did you put in &}l=FOOD . ,,,,,,
*BERN:,(.) I don't know . ,,,,,,
*FRAN:,Mhm ? ,,,,,,
*SEAN:,(..) &{l=FOOD I don't know &}l=FOOD . ,,,,,,
*ALIC:,(..) Can you do it again . ,,,,,,
*ALIC:,No ,,,,,,
,I don't ⌈ think ⌉ so . ,,,,,,
*SEAN:,        ⌊ No ⌋ . ,,,,,,
*FRAN:,(..) Well ,,,,,,
,(..) my (..) cooking (.) comes out different ,,,,,,
,(..) differently every time . ,,,,,,
*FRAN:,(..) Every (..) time I make (.) something . ,,,,,,
*ALIC:,(..) Eve⌈ry so- ⌉ +... ,,,,,,
*FRAN:,        ⌊ The only thing ⌋ that's consistent is ,,,,,,
,(..) my fried chicken ,,,,,,
,pretty much tastes the same ,,,,,,
,(.) a:nd ,,,,,,
,(..) spaghetti sauce I make ,,,,,,
,(..) tastes (..) pretty much the same . ,,,,,,
*SEAN:,(..) &{l=FOOD Do you cook a lot &}l=FOOD ? ,,,,,,
*FRAN:,(..) I used to ,,,,,,
,I haven't in (.) several years . ,,,,,,
*SEAN:,Hm . ,,,,,,
*FRAN:,(..) But now ,TI,T2,TI,T2,MATCH,
,I: have a kitchen that ,,,,,,
,again I'll cook . ,,,,,,
*FRAN:,(..) I at ⌈ least I ⌉ +... ,,,,,,
*SEAN:,          ⌊ You're on the twel⌋fth floor ? ,,,,,,
*FRAN:,(..) Yeah ,,,,,,
,I have great views . ,,,,,,
*FRAN:,I'm thrilled with the views . ,,,,,,
*ALIC:,You can ki- (.) cook on the (.) twelfth floor ? ,,,,,,
*FRAN:,Mhm ? ,,,,,,
*SEAN:,(.) &=laugh &=laugh ⌈ &=laugh ⌉ . ,,,,,,
*ALIC:,                    ⌊ XX⌋⌈2X ⌉2 . ,,,,,,
*SEAN:,                         ⌊2 Are you ⌋2 sure ? ,,,,,,
*FRAN:,Mhm ? ,,,,,,
*ALIC:,(.) &{l=X I think there's something &}l=X ,,,,,,
,the pressure though . ,,,,,,
*ALIC:,&{l=X The air is thin &}l=X . ,,,,,,
*FRAN:,(..) Mhm ? ,,,,,,
*ALIC:,As you go up ? ,,,,,,
*FRAN:,You have ⌈ to adjust for altitude ⌉ . ,,,,,,
*BERN:,         ⌊ I was thinking of the barbecue ⌋ . ,,,,,,
*FRAN:,&=laugh ⌈2 &=laugh &=laugh &=laugh ⌉2 . ,,,,,,
*BERN:,        ⌊2 &=laugh &=laugh ⌋2 ⌈3 &=laugh &=laugh ⌉3 &=laugh &=laugh &=laugh . ,,,,,,
*ALIC:,                              ⌊3 That's right ⌋3 . ,,,,,,
*ALIC:,Everything cooks (.) faster . ,,,,,,
*BERN:,(.) I [% laugh] always [% laugh] run outside and cook . ,,,,,,
*FRAN:,(..) Mm . ,,,,,,
*BERN:,(..) The altitude [% laugh] . ,,,,,,
*BERN:,You have to be careful . ,,,,,,
*BERN:,&{l=X Right &}l=X ,,,,,,
,⌈ Especially with ⌉ you're baking . ,,,,,,
*FRAN:,⌊ Right ⌋ . ,,,,,,
*BERN:,(.) &=laugh &=laugh . ,,,,,,
*ALIC:,⌈ &=ex &=laugh &=laugh &=laugh &=laugh ⌉ . ,,,,,,
*FRAN:,⌊ &=laugh &=laugh &=laugh &=laugh &=laugh ⌋ . ,,,,,,
*S+A1365:B1430EAN:,(.) Well Fran ,,,,,,
,I've been looking ,,,,,,
,(..) really ,,,,,,
,for a year or two ,,,,,,
,at different places to live . ,,,,,,
*SEAN:,I went back to Eur:ope . ,,,,,,
*FRAN:,(..) Mhm ? ,,,,,,
*SEAN:,(..) to London and Paris ,,,,,,
,(..) I've been in Sun Valley ,,,,,,
,(.) Tucso:n ,,,,,,
,(.) I've been +/. ,,,,,,
*SEAN:,and Montana ,,,,,,
,Sea:ttle ,,,,,,
,I liked Seattle a lot . ,,,,,,
*FRAN:,M⌈hm ⌉ ? ,,,,,,
*SEAN:, ⌊ But I ⌋ couldn't live there . ,TI,T1,TI,T1,MATCH,
*SEAN:,(..) And +/. ,,,,,,
*SEAN:,(..) Outside of New York ,,,,,,
,and I couldn't go back to live in New York again ,,,,,,
,it's been ,,,,,,
,(..) I'm over it . ,,,,,,
*FRAN:,(..) ⌈ Mhm ⌉ . ,,,,,,
*SEAN:,     ⌊ This is ⌋ the best place I've found . ,,,,,,
*FRAN:,(..) It &{l=X got &}l=X +/. ,,,,,,
*FRAN:,ʔuh: ⌈ I said ⌉ +... ,,,,,,
*SEAN:,     ⌊ and Alice ⌋ always says . ,,,,,,
*ALIC:,I ⌈2 XX ⌉2 . ,,,,,,
*SEAN:,  ⌊2 &{l=VOX might as well ⌋2 not look Sean ,,,,,,
,I've looked everywhere &}l=VOX . ,,,,,,
*ALIC:,I've looked everywhere . ,,,,,,
*SEAN:,⌈ &=laugh &=laugh ⌉ &=laugh . ,,,,,,
*ALIC:,⌊ &{l=X you know &}l=X ⌋ . ,,,,,,
*FRAN:,⌈2 It's pointless ⌉2 . ,,,,,,
*ALIC:,⌊2 I've looked everywhere ⌋2 . ,,,,,,
*FRAN:,(..) Right . ,,,,,,
*SEAN:,(..) This is a tiny little (..) geographically wonderful . ,,,,,,
*ALIC:,(.) Haven . ,,,,,,
*ALIC:,(.) ⌈ &{l=X This is &}l=X ⌉ +... ,,,,,,
*SEAN:,    ⌊ Mhm⌋⌈2: ⌉2 . ,,,,,,
*FRAN:,          ⌊2 Bloom ⌋2 . ,,,,,,
*SEAN:,(..) &{l=FOOD And it is the geography Alice &}l=FOOD . ,,,,,,
*ALIC:,(..) It's whatever it is . ,,,,,,
*ALIC:,It ⌈ works ⌉ . ,,,,,,
*SEAN:,   ⌊ It's ⌋ (..) geography . ,,,,,,
*SEAN:,(..) But I do miss: ,UI,T1,UI,T1,MATCH,
,(.) a lot of things about a city . ,,,,,,
*SEAN:,(..) &=tsk And about New York . ,,,,,,
*FRAN:,(.) Well we go to the opera ,,,,,,
,(..) and I go to museums . ,,,,,,
*SEAN:,(..) M⌈m ⌉ . ,,,,,,
*FRAN:,      ⌊ A⌋nd ,,,,,,
,(..) I would miss that . ,,,,,,
*SEAN:,(..) Mhm ? ,,,,,,
*BERN:,(..) The New York opera . ,,,,,,
*FRAN:,(..) The Met . ,,,,,,
*BERN:,(..) Mhm . ,,,,,,
*ALIC:,(..) That's the best part of Age of Innocence . ,,,,,,
*ALIC:,The beginning of it ? ,,,,,,
*ALIC:,(..) I ⌈ just saw that today ⌉ . ,,,,,,
*SEAN:,       ⌊ She went today ⌋ . ,,,,,,
*FRAN:,(.) Mm: . ,,,,,,
*ALIC:,(.) And this ,,,,,,
,(..) the scene at the opera . ,,,,,,
*SEAN:,(.) ⌈ Mm ⌉ . ,,,,,,
*ALIC:,    ⌊ New ⌋ York . ,,,,,,
*ALIC:,In eighteen seventy . ,,,,,,
*FRAN:,(.) Mm: . ,,,,,,
*ALIC:,(.) ʔTh- +/. ,,,,,,
*ALIC:,(..) &{l=VOX It's (.) such detail &}l=VOX . ,,,,,,
*ALIC:,(.) An⌈: ⌉ +... ,,,,,,
*SEAN:,      ⌊ &{l=X It &}l=X ⌋ said that's (.) ⌈2 the best ⌉2 thing . ,,,,,,
*ALIC:,                                         ⌊2 &{l=VOX Oh: ⌋2 ,,,,,,
,⌈3 Go:⌉3⌈4d is it &}l=VOX ⌉4 +... ,,,,,,
*SEAN:,⌊3 the New ⌋3 ⌊4 York scene ⌋4 . ,,,,,,
*BERN:,        ⌊4 I wonder ⌋4 where the opera house was . ,,,,,,
*FRAN:,(..) Oh well . ,,,,,,
*SEAN:,⌈ It was down o:n . ,,,,,,
*FRAN:,⌊ when I came to New York ,,,,,,
,it was Thirty⌋-ninth and s: ʔuh +... ,,,,,,
*SEAN:,Fourteenth St- ⌉ +... ,,,,,,
*FRAN:,(..) When I came to New York ,,,,,,
,it was on Thirty-ninth and (.) and Broadway . ,,,,,,
*ALIC:,I think it's at the ⌈ big XX ⌉ . ,,,,,,
*BERN:,                    ⌊ What year were you ⌋ there ? ,,,,,,
*FRAN:,(.) Sixty-f- (..) four . ,,,,,,
*FRAN:,(..) There were +/. ,,,,,,
*FRAN:,(..) It was the last ⌈ season there ⌉ . ,,,,,,
*BERN:,                     ⌊ They were b- +/. ,,,,,,
*BERN:,Oh ⌋ ,,,,,,
,they were building Lincoln Center . ,,,,,,
*SEAN:,That was ⌈2 the old o⌉2pera house . ,,,,,,
*BERN:,         ⌊2 Because ⌋2 . ,,,,,,
